ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
861|http://www.kaiser-ruprecht-bruderschaft.de/|null|J|8640|null|/storage/gather/rlb01_20100115092813|15.01.2010 09:27:23|15.01.2010 09:29:01|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100115092813|NI|null|AK|15.01.2010 09:27:23|null|null|null
905|http://wiki.westerwald-gymnasium.de/|null|J|4320|null|/storage/gather/rlb01_20100119112714|19.01.2010 11:26:29|30.06.2011 18:41:52|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100119112714|NI|null|AK|19.01.2010 11:26:29|null|null|null
907|http://www.regionrhein.de/|null|J|4320|null|/storage/gather/rlb01_20100120140314|20.01.2010 14:02:54|16.12.2013 17:20:58|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100120140314|GF|null|AK|20.01.2010 14:02:54|null|null|null
908|http://www.rhein-lahn-info.de/geschichte/heimatbuch-dausenau/|null|N|null|null|/storage/gather/rlb01_20100121085414|21.01.2010 08:53:16|21.01.2010 08:54:44|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100121085414|NI|null|AK|21.01.2010 08:53:16|null|null|null
921|http://www.obere-ahr-hocheifel.de/|HT016593246|J|8640|null|/storage/gather/rlb01_20100125112314|18.11.2010 14:03:23|17.08.2014 10:20:37|17.08.2014 10:31:52|null|S |5742436|AK|25.01.2010 11:23:00|null|null|null
1162|http://www.rheinreise1850.de/|HT016872950|J|17280|null|/storage/gather/rlb01_20110621094517|29.06.2011 08:44:09|10.06.2013 12:00:57|10.06.2013 12:03:07|null|S |5151841|AK|21.06.2011 09:44:26|null|null|null
1242|http://www.lampl-orgelzentrum.com/|null|J|4320|null|/storage/gather/rlb01_20111227114816|27.12.2011 11:47:37|27.12.2011 11:50:35|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20111227114816|NI|null|AK|27.12.2011 11:47:37|null|null|null
1282|http://www2.genealogy.net/vereine/ArGeWe/FBs/hamm/FB_Hamm-Sieg_1670-1820/index.html|null|J|8640|null|/storage/gather/rlb01_20120215143917|15.02.2012 14:38:16|16.02.2012 04:14:02|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20120215143917|NI|null|AK|15.02.2012 14:38:16|null|null|null
1302|http://www.dumjahn.de/|HT017212539|J|4320|6|/storage/gather/rlb01_20120424112137|27.05.2013 10:12:25|11.12.2014 10:10:47|11.12.2014 13:31:22|null|S |5915609|AK|24.04.2012 11:20:51|null|null|null
1382|http://freiheit.neuwied.de/|null|J|4320|null|/storage/gather/rlb01_20120927110017|09.10.2012 17:45:36|09.10.2012 18:03:27|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20120927110017|NI|null|AK|27.09.2012 10:59:51|null|null|null
1522|http://www.mein-schweinschied.de/|HT017578971|J|4320|null|/storage/gather/rlb01_20130221112024|14.03.2013 15:46:47|25.09.2014 17:20:45|04.11.2014 17:11:53|null|S |5843580|AK|21.02.2013 11:17:02|null|null|null
1702|http://hepeters.bplaced.com/wordpress/|HT018226273|J|4320|6|/storage/gather/rlb01_20140407103026|02.05.2014 10:38:26|04.10.2014 12:10:43|04.11.2014 17:17:13|null|S |5843584|AK|07.04.2014 10:28:39|N|N|DA Kuss, da METS-Objekt noch nicht indexiert; ansonsten bereit für den Ingest
1722|http://www.rlp.de/|TT002234858|J|4320|6|/storage/gather/rlb01_20140610105022|12.12.2014 16:20:01|13.12.2014 12:11:09|13.12.2014 14:05:44|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20140610105022|IF|5647875|AK|10.06.2014 10:40:34|N|J|null
1724|http://www.fm.rlp.de/|HT018296633|J|4320|60|/storage/gather/rlb01_20140610105025|17.06.2014 09:54:49|07.12.2014 12:20:52|07.12.2014 12:33:27|null|S |5913114|AK|10.06.2014 10:41:07|N|J|null
1782|http://www.inschriften.net/landkreis-bad-kreuznach/einleitung.html|HT018415567|N|0|6|/storage/gather/rlb01_20140918080021|14.10.2014 12:48:34|18.09.2014 09:20:49|14.10.2014 13:07:12|null|S |5825433|AK|18.09.2014 07:54:16|N|J|null
22|http://www.angelika-nocka.de/|HT015305938|J|8640|null|/storage/gather/rlb01_20071001085704|10.10.2007 09:27:45|04.11.2014 16:50:34|04.11.2014 17:11:57|null|S |5843582|AK|null|null|null|null
21|http://www.uff-de-bach.de/|HT015305911|J|8640|null|/storage/gather/rlb01_20071001085404|10.10.2007 09:23:36|23.06.2014 17:00:27|23.06.2014 17:12:41|null|S |5649470|AK|null|null|null|null
23|http://www.initiative-gegen-gewalt.de/|null|J|4320|null|/storage/gather/rlb01_20071001085804|10.10.2007 09:36:14|01.10.2007 08:58:05|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001085804|NI|null|DA|null|null|null|null
641|www.lbz-rlp.de|null|N|null|1|/storage/gather/rlb01_20090921134309|21.09.2009 13:42:08|21.09.2009 13:43:15|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20090921134309|NI|null|AK|21.09.2009 13:42:08|null|null|null
24|http://www.schutzbaer-bulli.de/|null|J|4320|null|/storage/gather/rlb01_20071001090103|10.10.2007 09:37:07|01.10.2007 09:01:05|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001090103|NI|null|DA|null|null|null|null
25|http://www.zilshausen.net/|TT002234826|N|0|null|/storage/gather/rlb01_20071001091704|01.10.2007 09:16:26|01.10.2007 09:17:54|01.10.2007 09:18:17|null|S |2121491|AK|null|null|null|null
26|www.zilshausen.de|TT002234826|J|4320|null|/storage/gather/rlb01_20071001091705|27.07.2011 15:13:02|17.02.2015 14:40:42|04.03.2015 16:56:33|null|S |6040297|AK|null|null|null|null
27|http://home.pages.at/langnickel/|HT015305987|J|4320|null|/storage/gather/rlb01_20071001104504|10.10.2007 09:58:41|23.11.2013 17:50:52|01.06.2012 17:12:35|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001104504|GF|4450266|AK|null|null|null|null
28|http://www.annette-predeek.de/|HT015306041|J|8640|null|/storage/gather/rlb01_20071001104604|10.10.2007 10:15:38|04.11.2014 16:50:35|04.11.2014 17:21:34|null|S |5843586|AK|null|null|null|null
29|http://www.kulturhaus-oberwesel.de/|HT015306058|J|8640|null|/storage/gather/rlb01_20071001104705|10.10.2007 10:23:47|04.11.2014 16:50:36|04.11.2014 17:31:57|null|S |5843588|AK|null|null|null|null
30|www.hs-koblenz.de|HT015306591|J|4320|6|/storage/gather/rlb01_20071001104706|28.12.2012 15:23:27|22.12.2014 23:10:27|22.12.2014 23:55:08|null|S |5940033|AK|null|null|null|null
